ticket_id,request_date,week_start,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,response_sla_hours,resolution_sla_hours,first_response_met,resolution_sla_met,rework_required,revenue_value,cost_estimate,estimated_margin,satisfaction_score
REQ-10043,2026-01-05,2026-01-05,Email,Billing,Invoice Correction,Student,Low,Closed,3.84,11.96,16,120,1,1,0,383.17,104.02,279.15,4.56
REQ-10053,2026-01-05,2026-01-05,Web Form,IT Support,Account Setup,Internal Staff,Normal,Closed,1.07,6.41,8,72,1,1,0,386.82,135.39,251.43,4.59
REQ-10136,2026-01-05,2026-01-05,Web Form,Data & Reporting,Dashboard Request,Small Business,High,In Progress,1.72,0.0,4,36,1,1,0,1137.33,398.07,739.26,4.28
REQ-10185,2026-01-05,2026-01-05,Email,Billing,Billing Question,Internal Staff,Normal,Closed,11.07,34.32,8,72,0,1,1,264.61,206.42,58.19,3.48
REQ-10203,2026-01-05,2026-01-05,Web Form,Billing,Invoice Correction,Small Business,High,In Progress,1.73,0.0,4,36,1,1,0,280,88.94,191.06,4.17
REQ-10374,2026-01-05,2026-01-05,Email,Admin Operations,Vendor Record Update,Small Business,Low,Closed,4.94,12.31,16,120,1,1,0,135.9,38.61,97.29,4.5
REQ-10457,2026-01-05,2026-01-05,Email,IT Support,Account Setup,Small Business,Low,In Progress,1.8,0.0,16,120,1,1,0,402.86,218.31,184.55,4.33
REQ-10476,2026-01-05,2026-01-05,Referral,Data & Reporting,Data Export,Small Business,Normal,Closed,4.28,14.76,8,72,1,1,0,512.96,219.1,293.86,4.38
REQ-10494,2026-01-05,2026-01-05,Unknown,Data & Reporting,Data Export,Parent,High,In Progress,2.09,0.0,4,36,1,1,1,372.25,138.32,233.93,3.95
REQ-10572,2026-01-05,2026-01-05,Email,Billing,Billing Question,Internal Staff,Low,Closed,2.15,25.52,16,120,1,1,0,244.32,116.34,127.98,4.46
REQ-10596,2026-01-05,2026-01-05,Email,Systems Operations,Intake Form Issue,Small Business,High,Closed,1.43,8.4,4,36,1,1,0,533.48,183.3,350.18,4.51
REQ-10389,2026-01-06,2026-01-05,Phone,Scheduling,Appointment Change,Student,High,Closed,1.81,11.73,4,36,1,1,0,143.16,50.11,93.05,4.3
REQ-10432,2026-01-06,2026-01-05,Email,Billing,Invoice Correction,Internal Staff,Low,Open,8.72,0.0,16,120,1,1,1,280,68.08,211.92,3.59
REQ-10441,2026-01-06,2026-01-05,Email,Billing,Invoice Correction,Student,Normal,In Progress,4.23,0.0,8,72,1,1,0,365.08,121.5,243.58,4.21
REQ-10552,2026-01-06,2026-01-05,Phone,Data & Reporting,Data Export,Vendor,Low,Closed,2.7,57.87,16,120,1,1,0,380.3,172.84,207.46,4.1
REQ-10621,2026-01-06,2026-01-05,Web Form,Client Success,Service Follow-Up,Internal Staff,High,Closed,1.94,7.82,4,36,1,1,0,314.12,115.91,198.21,4.4
REQ-10002,2026-01-07,2026-01-05,Email,Billing,Billing Question,Student,Low,Closed,4.2,6.7,16,120,1,1,0,247.36,113.21,134.15,4.2
REQ-10215,2026-01-07,2026-01-05,Walk-In,Client Success,Service Follow-Up,Internal Staff,Low,Open,3.53,0.0,16,120,1,1,0,292.77,127.52,165.25,4.02
REQ-10310,2026-01-07,2026-01-05,Referral,Billing,Billing Question,Student,Normal,Closed,3.16,6.63,8,72,1,1,0,210,124.53,85.47,3.8
