week_start,total_requests,open_requests,avg_response_hours,first_response_sla_pct,rework_pct,avg_satisfaction,estimated_margin
2026-01-05,45,14,3.45,95.6,6.7,4.24,10008.92
2026-01-12,32,15,3.51,96.9,6.3,4.17,8894.18
2026-01-19,39,15,2.94,97.4,20.5,4.25,9350.19
2026-01-26,38,13,3.28,97.4,7.9,4.32,8411.97
2026-02-02,33,9,4.26,87.9,12.1,4.17,9115.48
2026-02-09,51,18,4.48,96.1,17.6,4.17,10186.44
2026-02-16,48,19,3.37,97.9,22.9,4.24,12924.22
2026-02-23,50,16,3.3,96.0,14.0,4.23,13601.78
2026-03-02,44,15,2.94,95.5,15.9,4.3,11693.32
2026-03-09,51,20,3.56,92.2,3.9,4.27,13120.54
2026-03-16,36,9,3.15,100.0,16.7,4.2,8910.71
2026-03-23,44,15,3.59,95.5,18.2,4.24,10104.69
2026-03-30,38,12,3.13,100.0,26.3,4.22,8875.52
2026-04-06,37,17,3.42,94.6,5.4,4.26,10611.18
2026-04-13,29,11,3.18,96.6,20.7,4.18,6496.96
2026-04-20,25,11,4.33,92.0,16.0,4.26,6584.58
