ticket_id,request_date,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,rework_required,revenue_value,cost_estimate,satisfaction_score
REQ-10177,Feb 12 2026,Referral,Systems Operations,Automation Request,Internal Staff,Low,Open, 4.8 ,,N,1699.20,,4.08
REQ-10501,03/09/2026,Phone,Billing,Billing Question,Vendor,Low,Closed,1.91,9.13,no,161.02,83.48,4.37
REQ-10291,Mar 04 2026,email,Billing,,Vendor,High,Closed,2.50,6.87,true,212.95,60.71,4.28
REQ-10359,Mar 04 2026,Web Form,Systems Operations,Intake Form Issue,Parent,Normal,Open,4.20, 0.0 ,false,471.87,123.18,4.06
REQ-10049,01/20/2026,Email,Billing,Billing Question,Parent,High,Closed,1.07,1.87,true,,191.18,4.20
REQ-10086,2026-01-30,Web Form,Billing,Billing Question,Small Business,High,Closed,1.81,9.39,false,293.05,119.50,4.43
REQ-10052,2026-04-23,Web Form,Scheduling,Appointment Change,Parent,Low,Closed,7.12, 15.5 ,0,,88.73,4.12
REQ-10150,2026-02-17,Phone,Data & Reporting,Data Export,Small Business,Normal,Closed,3.99,13.57,N,618.36,295.92,4.56
REQ-10576,02/07/2026,Email,Billing,Invoice Correction,Internal Staff,Normal,In Progress,6.11,0.00,true,377.90,164.07,3.68
REQ-10048,2026-03-18,Web Form,Billing,Billing Question,Vendor,Normal,Closed,3.04,9.38,N,255.75,123.39,4.30
REQ-10035,2026-04-03,Web Form,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,5.85,,no, 260.5 ,141.69,4.41
REQ-10198,03/02/2026,Walk-In,Billing,Billing Question,Parent,High,Open,1.24,0.00,N,152.44,78.09,4.28
REQ-10058,01/26/2026,,Billing,Invoice Correction,Vendor,Normal,Closed, 3.5 ,23.36,N,391.45,170.16,4.50
REQ-10181,2026-04-07,Referral,Billing,Billing Question,Vendor,Normal,Closed, 1.3 ,6.89,N,236.58,-86.68,4.51
REQ-10363,Apr 17 2026,Web Form,Scheduling,Appointment Change,Vendor,Normal,In Progress,,0.00,N,141.78,55.39,4.09
REQ-10417,2026-03-29,Email,Scheduling,Appointment Change,Small Business,Low,Pending,2.72,0.00,true,145.68,77.18,
REQ-10403,01/10/2026,,Systems Operations,Automation Request,Internal Staff,Normal,Closed,1.01,6.12,no,969.56,334.09,4.41
REQ-10175,01/21/2026,Phone,,Billing Question,Vendor,Normal,Closed,1.31,14.40,0,151.34,45.18,4.19
REQ-10447,2026-03-29,Phone,Client Success,Service Follow-Up,Small Business,Normal,Open,1.97,0.00,N,309.54,,4.26
REQ-10297,2026-03-22,Email,Data & Reporting,Data Export,Internal Staff,Normal,Closed,4.48,19.83,N,678.54,160.86,4.47
REQ-10141,Mar 23 2026,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Open,1.68,,1,154.14,67.76,
REQ-10553,03/11/2026,Phone,Data & Reporting,Data Export,Vendor,Low,Closed,3.68,26.16,N,595.55,287.30,4.43
REQ-10521,2026-03-08, PHONE ,Admin Operations,Vendor Record Update,Student,Normal,Closed,1.89,3.86,0,163.47,57.29,4.55
REQ-10067,2026-02-26,Walk-In,Billing,Billing Question,Parent,Normal,Closed,,26.23,N,192.26,94.08,4.50
REQ-10166,Mar 17 2026,Web Form,Client Success,Service Follow-Up,Vendor,Normal,Closed,2.45,9.97,N,372.16,146.49,4.43
REQ-10340,03/23/2026,Email,Scheduling,Appointment Change,Parent,Low,Closed,,-8.18,N,212.61,52.39,4.36
REQ-10121,Mar 22 2026,Web Form,Billing,Invoice Correction,Student,Normal,In Progress,3.71,,0,273.65,85.80,4.01
REQ-10071,Feb 13 2026,Email,Billing,Invoice Correction,Vendor,Low,Closed,14.27,15.07,false,271.30,95.22,3.88
REQ-10367,02/10/2026,Email,Scheduling,Appointment Change,Parent,Normal,In Progress,4.62,0.00,0,122.25,,3.99
REQ-10031,Mar 08 2026,Phone,Data & Reporting,Data Export,Internal Staff,Low,New,,0.00,no,415.13,205.73,4.14
REQ-10051,04/06/2026,Referral,Data & Reporting,Dashboard Request,Small Business,Normal,Open,3.16,0.00,N,1145.83,450.26, 4.1 
REQ-10356,Apr 23 2026,Email,Admin Operations,,Vendor,Normal,Done,12.59,13.79,false,160.96,81.83,4.22
REQ-10206,Jan 23 2026,Email,Client Success,Service Follow-Up,Vendor,Normal,open,3.28,,no,267.60,91.27,4.15
REQ-10422,Mar 28 2026,Phone,Data & Reporting,Data Export,Student,Normal,In Progress,3.88,0.00,Y,373.70,237.56,3.78
REQ-10548,2026-02-17,Email,Billing,Invoice Correction,Student,Normal,Closed,1.76,,N,390.58,190.07,4.56
REQ-10578,2026-01-11,Web Form,Billing,Invoice Correction,Internal Staff,Normal,Closed,1.67,26.96,no,341.35, 81.1 ,4.32
REQ-10574,02/14/2026,,Client Success,Service Follow-Up,Student,Normal,Closed,17.53,18.33,N,231.38,113.88,3.98
REQ-10366,Mar 14 2026,,Scheduling,Appointment Change,Student,Low,Closed,2.05,8.84,no,175.47,40.72, 4.5 
REQ-10123,2026-03-24,,Billing,Invoice Correction,Student,Normal,In Progress,5.87,0.00,false,,137.52,3.93
REQ-10158,Mar 13 2026,Phone,Scheduling,Appointment Change,Vendor,High,In Progress,, 0.0 ,no,151.45,72.29,4.38
REQ-10017,Feb 12 2026,referral,Billing,Billing Question,Internal Staff,Low,Closed,10.76,21.46,Y,157.18,65.92,3.66
REQ-10359,Mar 04 2026,Web Form,Systems Operations,Intake Form Issue,Parent,Normal,Complete,4.20,24.87,false,471.87,123.18,4.06
REQ-10485,03/14/2026,Referral,Client Success,Service Follow-Up,Student,,Closed,5.17,34.37,0,365.35,,4.29
REQ-10558,2026-04-23,Referral,Client Success,Service Follow-Up,Small Business,,Closed,,,no, 213.2 ,92.12, 4.4 
REQ-10233,2026-03-19,Email,Admin Operations,Vendor Record Update,Student,High,Open,2.90,0.00,false,139.81,75.34,4.28
REQ-10428,01/14/2026, EMAIL ,IT Support,Account Setup,Student,Low,Closed,3.39,6.35,0,454.26,211.90,4.58
REQ-10102,Apr 21 2026,Web Form,Scheduling,Appointment Change,Vendor,Urgent,Open,,0.00,no,129.89,,4.40
REQ-10168,2026-04-12,Phone,Billing,Invoice Correction,Student,Normal,Closed,3.41,10.90,0,285.57, 88.6 ,4.45
REQ-10500,02/16/2026,Email,Data & Reporting,Data Export,Small Business,Low,Open,9.25,0.00,yes,624.11,,3.59
